iter	Logloss
0	0.6259277861
1	0.5711346843
2	0.5250590157
3	0.4863437099
4	0.4531825889
5	0.424809385
6	0.4001031698
7	0.3785531195
8	0.3598810798
9	0.343453527
10	0.3292625729
11	0.3166865181
12	0.3054196825
13	0.2957540435
14	0.2867609503
15	0.2790980798
16	0.2722545419
17	0.2659016063
18	0.2603395463
19	0.2556130037
20	0.2511518527
21	0.2472887598
22	0.2437069299
23	0.2404555959
24	0.2373031109
25	0.234714424
26	0.2323628664
27	0.2298973109
28	0.2278071014
29	0.2261973214
30	0.2247587456
31	0.2232237659
32	0.2219567857
33	0.2207478982
34	0.2196797775
35	0.2183971409
36	0.2169353285
37	0.2158441792
38	0.2148462248
39	0.2140991126
40	0.21323845
41	0.2123385413
42	0.2117182654
43	0.2110474738
44	0.2105622429
45	0.2093727134
46	0.2086387813
47	0.2078125522
48	0.2073431104
49	0.2069610114
50	0.2062579206
51	0.2057177446
52	0.2052997056
53	0.2045545488
54	0.203994143
55	0.2036509997
56	0.2027289856
57	0.2022453812
58	0.201730267
59	0.201307772
60	0.2003940277
61	0.2000205616
62	0.1996283072
63	0.1991012203
64	0.1986518759
65	0.1983592871
66	0.1976360095
67	0.1972024615
68	0.1969556996
69	0.1963277735
70	0.1961091017
71	0.1955363482
72	0.1950667225
73	0.1947879997
74	0.1942984766
75	0.1936482072
76	0.1930176231
77	0.192241186
78	0.1920561811
79	0.1917191284
80	0.1908579848
81	0.190274408
82	0.1896555109
83	0.1894162422
84	0.1891783031
85	0.1889509763
86	0.1888222466
87	0.1884567997
88	0.1882857932
89	0.1880149018
90	0.1875221094
91	0.1872298977
92	0.1868835671
93	0.186660649
94	0.1861587076
95	0.1857992582
96	0.1855158768
97	0.1853003997
98	0.184823423
99	0.184471933
