iter	Passed	Remaining
0	9	972
1	17	871
2	25	832
3	33	812
4	41	796
5	49	781
6	57	768
7	65	756
8	73	746
9	81	737
10	89	726
11	97	716
12	105	705
13	113	696
14	121	686
15	129	678
16	136	668
17	145	661
18	152	651
19	160	642
20	168	633
21	176	625
22	184	617
23	192	608
24	200	600
25	207	591
26	216	584
27	224	576
28	232	568
29	240	560
30	247	551
31	255	543
32	263	535
33	271	526
34	278	517
35	286	509
36	294	502
37	302	493
38	310	485
39	318	477
40	326	469
41	334	461
42	341	452
43	348	444
44	356	435
45	364	428
46	372	420
47	380	412
48	388	403
49	395	395
50	403	388
51	411	380
52	419	371
53	427	363
54	434	355
55	442	347
56	450	339
57	457	331
58	465	323
59	473	315
60	481	307
61	488	299
62	495	291
63	503	283
64	511	275
65	518	267
66	526	259
67	534	251
68	542	243
69	549	235
70	557	227
71	565	219
72	573	212
73	581	204
74	588	196
75	596	188
76	604	180
77	612	172
78	620	164
79	627	156
80	635	149
81	643	141
82	651	133
83	659	125
84	666	117
85	674	109
86	682	101
87	689	94
88	697	86
89	704	78
90	712	70
91	720	62
92	727	54
93	735	46
94	743	39
95	751	31
96	758	23
97	766	15
98	774	7
99	781	0
